CustomerID,City,Zip Code,Gender,Senior Citizen,Partner,Dependents
4640-UHDOS,Phelan,92371,Female,No,Yes,No
3583-EKAPL,Redlands,92373,Male,No,No,No
9399-APLBT,Rialto,92377,Female,No,Yes,No
2359-KMGLI,Running Springs,92382,Male,No,No,No
0306-JAELE,Tecopa,92389,Male,No,No,No
6227-HWPWX,Victorville,92392,Female,No,No,No
0447-BEMNG,Wrightwood,92397,Female,No,Yes,No
5949-XIKAE,San Bernardino,92401,Female,No,Yes,No
8372-JUXUI,San Bernardino,92410,Male,No,No,No
0388-EOPEX,Riverside,92503,Female,No,Yes,No
6235-VDHOM,Riverside,92509,Female,Yes,No,No
7783-YKGDV,March Air Reserve Base,92518,Female,No,No,No
5609-CEBID,Hemet,92544,Female,Yes,No,No
7218-HKQFK,Homeland,92548,Male,No,Yes,No
4636-QRJKY,Idyllwild,92549,Female,No,Yes,No
5956-VKDTT,Moreno Valley,92557,Female,Yes,Yes,No
9412-GHEEC,Murrieta,92563,Male,No,No,No
0257-ZESQC,Perris,92571,Female,Yes,Yes,No
6825-UYPFK,Sun City,92586,Female,No,No,No
8397-MVTAZ,Sun City,92587,Male,No,Yes,No
9282-IZGQK,Irvine,92612,Female,No,No,No
1342-JPNKI,Lake Forest,92630,Male,No,No,No
2817-NTQDO,Huntington Beach,92646,Male,No,No,No
6986-IJDHX,Huntington Beach,92648,Male,No,Yes,No
5301-GAUUY,Newport Beach,92661,Male,No,No,No
0939-YAPAF,Santa Ana,92701,Female,No,No,No
1218-VKFPE,Anaheim,92805,Female,No,Yes,No
3627-FHKBK,Anaheim,92806,Female,No,No,No
2865-TCHJW,Anaheim,92807,Female,Yes,No,No
5192-EBGOV,Brea,92823,Female,Yes,No,No
0719-SYFRB,Norco,92860,Female,No,No,No
3419-SNJJD,Yorba Linda,92887,Female,Yes,Yes,No
6543-CPZMK,Ventura,93001,Male,No,Yes,No
4765-OXPPD,Ventura,93003,Female,No,Yes,No
1009-IRMNA,Port Hueneme,93041,Female,No,No,No
4554-YGZIH,Summerland,93067,Male,Yes,Yes,No
5099-BAILX,Santa Barbara,93101,Male,Yes,Yes,No
7207-RMRDB,Santa Barbara,93110,Female,No,Yes,No
0195-IESCP,Armona,93202,Male,No,Yes,No
4580-TMHJU,Avenal,93204,Female,No,Yes,No
0970-ETWGE,Bodfish,93205,Male,No,No,No
1626-ERCMM,Camp Nelson,93208,Male,Yes,Yes,No
0887-HJGAR,Coalinga,93210,Male,No,No,No
5644-PDMZC,Delano,93215,Female,Yes,No,No
9576-ANLXO,Earlimart,93219,Female,No,No,No
2024-BASKD,Exeter,93221,Female,No,No,No
4160-AMJTL,Fellows,93224,Female,Yes,No,No
5650-VDUDS,Kernville,93238,Female,No,No,No
7538-GWHML,Lemon Cove,93244,Female,No,No,No
3859-CVCET,Lindsay,93247,Female,No,No,No
3276-HDUEG,Maricopa,93252,Female,No,No,No
0823-HSCDJ,Onyx,93255,Male,Yes,No,No
0822-GAVAP,Posey,93260,Female,No,No,No
1448-PWKYE,Shafter,93263,Male,No,Yes,No
0067-DKWBL,Tipton,93272,Male,Yes,No,No
2276-YDAVZ,Wofford Heights,93285,Female,No,No,No
5896-NPFWW,Visalia,93292,Male,No,Yes,No
7133-VBDCG,Bakersfield,93311,Female,No,No,No
1029-QFBEN,San Luis Obispo,93405,Male,No,No,No
4952-YSOGZ,Lompoc,93436,Female,No,Yes,No
1589-AGTLK,Lompoc,93437,Male,No,No,No
5244-IRFIH,Los Alamos,93440,Male,Yes,Yes,No
2684-EIWEO,Oceano,93445,Female,Yes,No,No
6439-GTPCA,Pismo Beach,93449,Female,No,No,No
5138-WVKYJ,Mojave,93501,Male,No,No,No
6683-VLCTZ,Johannesburg,93528,Male,Yes,No,No
2189-WWOEW,Keene,93531,Female,No,No,No
1894-IGFSG,Lancaster,93535,Female,No,No,No
7379-POKDZ,Lancaster,93536,Male,No,Yes,No
0236-HFWSV,Palmdale,93552,Male,No,No,No
3900-AQPHZ,Pearblossom,93553,Female,No,No,No
5842-POCOP,Randsburg,93554,Female,No,Yes,No
7314-OXENN,Trona,93562,Male,No,No,No
0322-CHQRU,Palmdale,93591,Male,No,No,No
4678-DVQEO,Bass Lake,93604,Female,No,No,No
1450-GALXR,Friant,93626,Female,No,No,No
3138-BKYAV,Kerman,93630,Male,No,No,No
4289-DTDKW,Madera,93637,Male,No,Yes,No
1820-TQVEV,Madera,93638,Male,No,No,No
6275-YDUVO,Orosi,93647,Female,No,No,No
0115-TFERT,Fresno,93650,Male,No,Yes,No
2311-QYMUQ,San Joaquin,93660,Female,No,Yes,No
3643-AHCFP,Selma,93662,Male,Yes,Yes,No
9231-ZJYAM,Squaw Valley,93675,Female,Yes,No,No
6982-SSHFK,Fresno,93703,Male,No,No,No
3027-ZTDHO,Fresno,93721,Male,No,No,No
2207-NHRJK,Carmel,93923,Male,No,No,No
0947-MUGVO,Jolon,93928,Male,Yes,Yes,No
9944-HKVVB,King City,93930,Female,No,No,No
4124-MMETB,Lockwood,93932,Male,No,No,No
3671-SHRSP,Marina,93933,Male,No,Yes,No
5073-WXOYN,Belmont,94002,Female,No,No,No
0207-MDKNV,Daly City,94014,Female,No,No,No
9851-KIELU,Loma Mar,94021,Male,No,No,No
3908-BLSYF,Los Altos,94024,Female,No,No,No
7549-MYGPK,Mountain View,94040,Female,No,Yes,No
3804-RVTGV,Mountain View,94043,Male,No,Yes,No
9227-LUNBG,Pescadero,94060,Female,No,No,No
4315-MURBD,San Bruno,94066,Female,No,No,No
9734-YWGEX,South San Francisco,94080,Female,No,No,No
2719-BDAQO,Sunnyvale,94086,Male,No,No,No
0781-LKXBR,San Francisco,94102,Male,Yes,No,No
1907-UBQFC,San Francisco,94108,Male,Yes,No,No
6513-EECDB,San Francisco,94114,Male,Yes,Yes,No
7074-IEVOJ,San Francisco,94130,Female,Yes,No,No
9625-QSTYE,San Francisco,94131,Female,No,No,No
4750-ZRXIU,Palo Alto,94304,Female,Yes,No,No
6400-BWQKW,San Mateo,94402,Female,No,No,No
6680-WKXRZ,Antioch,94509,Female,No,No,No
7028-DVOIQ,Birds Landing,94512,Male,Yes,No,No
4208-UFFGW,Byron,94514,Male,Yes,No,No
9448-REEVD,Concord,94520,Male,No,Yes,No
9117-SHLZX,Fremont,94538,Male,No,No,No
9889-TMAHG,Fremont,94539,Male,Yes,No,No
4541-RMRLG,Hayward,94541,Male,No,No,No
3158-MOERK,Hayward,94545,Female,No,No,No
7294-TMAOP,Castro Valley,94546,Female,No,No,No
8919-FYFQZ,Livermore,94550,Male,Yes,Yes,No
5875-YPQFJ,Fremont,94555,Male,No,No,No
8603-IJWDN,Pinole,94564,Male,No,No,No
9369-XFEHK,Pleasanton,94566,Female,Yes,Yes,No
3842-IYKUE,San Leandro,94579,Female,No,No,No
6641-XRPSU,San Lorenzo,94580,Female,No,No,No
1374-DMZUI,San Ramon,94583,Female,Yes,No,No
8357-EQXFO,Union City,94587,Female,No,No,No
1989-PRJHP,Pleasanton,94588,Male,Yes,Yes,No
9524-EGPJC,Walnut Creek,94595,Female,No,No,No
6993-OHLXR,Walnut Creek,94596,Female,No,No,No
8818-XYFCQ,Walnut Creek,94598,Male,No,Yes,No
4695-VADHF,Oakland,94606,Male,No,Yes,No
4822-RVYBB,Berkeley,94704,Male,Yes,No,No
8436-BJUMM,Albany,94706,Male,No,Yes,No
4184-TJFAN,Berkeley,94707,Female,Yes,Yes,No
4145-UQXUQ,Berkeley,94710,Female,Yes,No,No
9948-YPTDG,San Rafael,94903,Male,No,Yes,No
1236-WFCDV,Greenbrae,94904,Male,Yes,No,No
4883-QICIH,Bodega Bay,94923,Male,No,Yes,No
8329-IBCTI,Cotati,94931,Female,No,No,No
1271-SJBGZ,Forest Knolls,94933,Male,Yes,No,No
5669-SRAIP,Larkspur,94939,Female,No,No,No
5981-ITEMU,Marshall,94940,Male,No,Yes,No
6941-PMGEP,Novato,94945,Female,No,No,No
1624-WOIWJ,Nicasio,94946,Female,No,No,No
2074-GKOWZ,Novato,94947,Male,No,Yes,No
0376-YMCJC,Novato,94949,Male,No,No,No
0634-SZPQA,San Anselmo,94960,Female,No,No,No
5536-RTPWK,Sausalito,94965,Male,No,Yes,No
6166-ILMNY,Tomales,94971,Female,No,No,No
3097-NNSPB,Valley Ford,94972,Female,No,No,No
0655-RBDUG,Alviso,95002,Male,No,No,No
4361-BKAXE,Boulder Creek,95006,Female,No,No,No
9878-TNQGW,Davenport,95017,Male,No,No,No
4441-NIHPT,Freedom,95019,Female,Yes,No,No
8999-BOHSE,Gilroy,95020,Female,Yes,No,No
7029-RPUAV,Los Gatos,95030,Male,Yes,Yes,No
8824-RWFXJ,Santa Cruz,95062,Male,No,Yes,No
9763-PDTKK,San Jose,95112,Female,No,No,No
7627-JKIAZ,San Jose,95116,Female,No,Yes,No
8111-SLLHI,San Jose,95128,Male,Yes,Yes,No
0927-LCSMG,San Jose,95129,Male,No,No,No
8257-RZAHR,San Jose,95134,Female,No,Yes,No
5293-WXJAK,San Jose,95135,Female,Yes,Yes,No
0841-NULXI,Stockton,95209,Male,No,No,No
7851-WZEKY,Stockton,95219,Female,No,No,No
8844-TONUD,Acampo,95220,Male,No,Yes,No
4086-YQSNZ,Glencoe,95232,Female,Yes,Yes,No
5868-CZJDR,Linden,95236,Male,No,No,No
0135-NMXAP,Lodi,95240,Female,No,No,No
0107-WESLM,West Point,95255,Male,No,No,No
3992-YWPKO,Atwater,95301,Female,No,No,No
0125-LZQXK,Big Oak Flat,95305,Male,No,No,No
8399-YNDCH,Columbia,95310,Male,Yes,No,No
5673-FSSMF,Delhi,95315,Female,No,No,No
1579-KLYDT,Hickman,95323,Male,No,No,No
6358-LYNGM,Mariposa,95338,Male,No,No,No
5494-HECPR,Mi Wuk Village,95346,Female,No,No,No
9824-BEMCV,Modesto,95350,Male,No,Yes,No
1373-ORVIZ,Modesto,95351,Female,No,Yes,No
9866-QEVEE,Modesto,95356,Male,No,No,No
9897-KXHCM,Modesto,95357,Female,No,Yes,No
7979-CORPM,Oakdale,95361,Male,No,No,No
1618-CFHME,Riverbank,95367,Female,No,No,No
3165-HDOEW,Salida,95368,Male,No,Yes,No
6581-NQCBA,Snelling,95369,Female,No,Yes,No
1689-MRZQR,Turlock,95382,Male,No,Yes,No
5835-BEQEU,Westley,95387,Male,No,No,No
5565-FILXA,Yosemite National Park,95389,Female,Yes,No,No
5552-ZNFSJ,Santa Rosa,95407,Male,No,No,No
2223-KAGMX,Santa Rosa,95409,Female,No,No,No
7321-PKUYW,Branscomb,95417,Female,No,No,No
2833-SLKDQ,Caspar,95420,Male,No,No,No
7595-EUIVN,Clearlake,95422,Female,No,No,No
2026-TGDHM,Cloverdale,95425,Female,No,No,No
4030-VPZBD,Comptche,95427,Female,No,No,No
6818-WOBHJ,Fulton,95439,Female,Yes,Yes,No
9134-CEQMF,Nice,95464,Male,Yes,Yes,No
7993-PYKOF,Rio Nido,95471,Male,No,Yes,No
5027-XWQHA,Ukiah,95482,Male,No,No,No
4566-QVRRW,Witter Springs,95493,Female,No,Yes,No
8519-IMDHU,Alderpoint,95511,Male,Yes,Yes,No
3372-KWFBM,Bayside,95524,Male,Yes,No,No
7831-QGOXH,Blue Lake,95525,Female,No,No,No
6393-WRYZE,Bridgeville,95526,Female,No,Yes,No
6599-RCLCJ,Crescent City,95531,Male,No,Yes,No
1725-MIMXW,Honeydew,95545,Male,No,No,No
0031-PVLZI,Korbel,95550,Female,No,Yes,No
7206-GZCDC,Loleta,95551,Female,Yes,No,No
1768-ZAIFU,Rio Dell,95562,Female,Yes,No,No
4671-LXRDQ,Salyer,95563,Male,No,No,No
1934-SJVJK,Smith River,95567,Male,No,No,No
3838-OZURD,Somes Bar,95568,Male,No,Yes,No
9269-CQOOL,Trinidad,95570,Male,No,No,No
2845-HSJCY,Whitethorn,95589,Female,No,Yes,No
1184-PJVDB,Amador City,95601,Male,No,Yes,No
9415-DPEWS,Carmichael,95608,Female,No,No,No
7943-RQCHR,Davis,95616,Female,No,No,No
3793-MMFUH,Davis,95618,Female,Yes,No,No
3249-ZPQRG,Diamond Springs,95619,Male,No,No,No
2568-BRGYX,Dixon,95620,Male,No,No,No
7721-JXEAW,Elk Grove,95624,Male,No,Yes,No
7249-WBIYX,Elmira,95625,Male,No,Yes,No
6567-HOOPW,Folsom,95630,Female,Yes,No,No
3334-CTHOL,Jackson,95642,Female,No,No,No
4704-ERYFC,Knights Landing,95645,Female,No,Yes,No
8621-MNIHH,Madison,95653,Female,Yes,Yes,No
5419-CONWX,Pleasant Grove,95668,Female,Yes,No,No
6240-EURKS,Plymouth,95669,Female,No,No,No
6960-HVYXR,Rio Linda,95673,Female,No,No,No
7024-OHCCK,Sheridan,95681,Female,Yes,No,No
7861-UVUFT,Sloughhouse,95683,Female,No,Yes,No
5357-TZHPP,Wheatland,95692,Male,Yes,No,No
0680-DFNNY,Winters,95694,Male,No,Yes,No
7767-UXAGJ,Colfax,95713,Male,No,No,No
1571-SAVHK,Meadow Vista,95722,Male,No,No,No
9546-CQJSU,Soda Springs,95728,Female,No,No,No
0506-LVNGN,Rancho Cordova,95742,Female,Yes,No,No
2951-QOQTK,Sacramento,95815,Male,No,No,No
3473-XIIIT,Sacramento,95824,Female,No,Yes,No
7893-IXHRQ,Sacramento,95826,Male,No,No,No
2952-QAYZF,Sacramento,95828,Male,No,No,No
4763-PGDPO,Sacramento,95831,Female,No,No,No
5394-SVGJV,Sacramento,95838,Male,No,No,No
9283-LZQOH,Antelope,95843,Male,No,Yes,No
7079-QRCBC,Sacramento,95864,Female,No,No,No
9851-QXEEQ,Bangor,95914,Male,No,No,No
9809-IMGCQ,Canyon Dam,95923,Male,Yes,No,No
5208-HFSBT,Challenge,95925,Female,No,No,No
3254-YRILK,Dobbins,95935,Male,Yes,No,No
0529-ONKER,Forest Ranch,95942,Male,Yes,No,No
5240-IJOQT,Grass Valley,95949,Male,Yes,No,No
1092-GANHU,Magalia,95954,Male,No,No,No
0661-XEYAN,Nevada City,95959,Female,Yes,No,No
7881-EVUAD,Oroville,95966,Female,No,No,No
5766-XQXMQ,Princeton,95970,Female,No,No,No
3703-VAVCL,Strawberry Valley,95981,Male,No,Yes,No
8519-QJGJD,Twain,95984,Female,No,No,No
6326-MTTXK,Yuba City,95993,Male,No,No,No
0330-IVZHA,Anderson,96007,Female,No,Yes,No
4237-RLAQD,Callahan,96014,Male,No,No,No
3186-BAXNB,Cottonwood,96022,Female,No,No,No
0637-YLETY,Douglas City,96024,Female,No,No,No
1157-BQCUW,Fall River Mills,96028,Male,No,No,No
2660-EMUBI,Fort Jones,96032,Male,Yes,No,No
7675-OZCZG,Hayfork,96041,Female,Yes,No,No
2003-CKLOR,Igo,96047,Male,No,No,No
1205-WNWPJ,Lakehead,96051,Female,No,No,No
9391-EOYLI,Lewiston,96052,Male,Yes,Yes,No
8387-MOJJT,Nubieber,96068,Female,No,Yes,No
2761-OCIAX,Palo Cedro,96073,Male,Yes,No,No
3068-OMWZA,Round Mountain,96084,Male,Yes,No,No
6032-KRXXO,Seiad Valley,96086,Male,No,No,No
7459-RRWQZ,Shasta,96087,Female,No,No,No
4154-AQUGT,Vina,96092,Male,Yes,Yes,No
8017-LXHFA,Davis Creek,96108,Female,Yes,No,No
6352-TWCAU,Fort Bidwell,96112,Female,No,No,No
1262-OPMFY,Likely,96116,Female,No,Yes,No
4248-QPAVC,Portola,96122,Female,Yes,Yes,No
4690-LLKUA,Topaz,96133,Male,Yes,No,No
3331-HQDTW,Homewood,96141,Female,No,No,No
9490-DFPMD,Tahoma,96142,Female,Yes,No,No
5442-XSDCW,Tahoe City,96145,Male,No,Yes,No
3049-NDXFL,South Lake Tahoe,96150,Female,No,No,No
8580-AECUZ,Truckee,96161,Male,Yes,No,No
7963-GQRMY,Los Angeles,90004,Female,No,Yes,No
1228-FZFRV,Los Angeles,90007,Male,No,Yes,No
2058-DCJBE,Los Angeles,90012,Male,No,No,No
5364-XYIRR,Los Angeles,90013,Male,No,Yes,No
4829-AUOAX,Los Angeles,90014,Female,No,No,No
5047-LHVLY,Los Angeles,90020,Male,Yes,No,No
9158-VCTQB,Los Angeles,90023,Female,No,Yes,No
6311-UEUME,Los Angeles,90025,Female,No,No,No
6839-ITVZJ,Los Angeles,90037,Female,No,Yes,No
0375-HVGXO,Los Angeles,90045,Female,No,No,No
8593-WHYHV,Los Angeles,90047,Male,No,No,No
4423-YLHDV,Los Angeles,90059,Female,No,Yes,No
0107-YHINA,Los Angeles,90062,Male,No,No,No
8640-SDGKB,Los Angeles,90066,Male,No,No,No
4116-TZAQJ,Culver City,90230,Female,No,No,No
3877-JRJIP,Hawthorne,90250,Male,No,No,No
8375-DKEBR,Hermosa Beach,90254,Female,Yes,No,No
7511-YMXVQ,Lynwood,90262,Male,No,No,No
7551-JOHTI,Malibu,90265,Female,No,No,No
9804-ICWBG,Pacific Palisades,90272,Male,No,No,No
5318-IXUZF,Redondo Beach,90277,Female,No,No,No
3198-VELRD,Marina Del Rey,90292,Female,No,Yes,No
9436-ZBZCT,Inglewood,90303,Male,No,No,No
7279-BUYWN,Buena Park,90620,Female,Yes,No,No
7156-MHUGY,Buena Park,90621,Male,Yes,No,No
7198-GLXTC,La Palma,90623,Male,No,No,No
8380-PEFPE,Avalon,90704,Male,No,No,No
5687-DKDTV,Bellflower,90706,Female,No,No,No
7530-HDYDS,Lakewood,90712,Female,No,No,No
3096-IZETN,Lomita,90717,Female,No,No,No
5922-ABDVO,Seal Beach,90740,Female,No,Yes,No
9172-ANCRX,Carson,90745,Female,No,No,No
6910-HADCM,Long Beach,90808,Female,No,No,No
4816-LXZYW,Long Beach,90810,Female,No,No,No
9606-PBKBQ,Long Beach,90813,Male,Yes,Yes,No
3536-IQCTX,South Pasadena,91030,Male,Yes,Yes,No
4911-BANWH,Sunland,91040,Female,No,No,No
8496-EJAUI,Tujunga,91042,Male,No,No,No
3132-TVFDZ,Glendale,91202,Male,Yes,Yes,No
8080-DDEMJ,Glendale,91204,Male,Yes,No,No
6365-MTGZX,Glendale,91206,Male,No,No,No
1349-WXNGG,Glendale,91207,Male,No,No,No
0621-TWIEM,Newhall,91321,Male,No,No,No
2485-ITVKB,Northridge,91325,Female,No,Yes,No
3669-OYSJI,Porter Ranch,91326,Male,No,No,No
1612-EOHDH,Pacoima,91331,Female,No,No,No
6702-OHFWR,Reseda,91335,Male,Yes,No,No
4510-PYUSH,Sylmar,91342,Female,Yes,No,No
7517-SAWMO,Granada Hills,91344,Female,No,Yes,No
4143-HHPMK,Mission Hills,91345,Male,No,No,No
7054-LGEQW,Canyon Country,91351,Female,No,No,No
0923-PNFUB,Westlake Village,91361,Female,No,No,No
3494-JCHRQ,Van Nuys,91411,Male,No,No,No
6474-FVJLC,Sherman Oaks,91423,Male,No,No,No
8840-DQLGN,Burbank,91502,Female,Yes,Yes,No
4547-LYTDD,North Hollywood,91601,Female,No,No,No
6770-XUAGN,North Hollywood,91605,Female,No,Yes,No
4193-ORFCL,North Hollywood,91606,Female,Yes,No,No
7776-QWNFX,Chino,91710,Male,Yes,Yes,No
6689-TCZHQ,Claremont,91711,Female,Yes,No,No
3143-ILDAL,El Monte,91732,Male,No,No,No
4720-VSTSI,Monterey Park,91754,Female,No,No,No
3946-MHCZW,Ontario,91761,Male,No,No,No
6651-AZVTJ,Pomona,91768,Male,No,Yes,No
4566-GOLUK,Rosemead,91770,Male,No,Yes,No
2484-DGXPZ,San Dimas,91773,Female,No,Yes,No
4587-NUKOX,Walnut,91789,Female,No,No,No
0420-BWTPW,Chula Vista,91910,Male,No,No,No
8183-ONMXC,Chula Vista,91915,Female,No,No,No
9614-RMGHA,Dulzura,91917,Male,No,Yes,No
5054-IEXZT,Jacumba,91934,Male,No,No,No
5834-ASPWA,Jamul,91935,Male,No,No,No
3948-XHGNA,Bonsall,92003,Male,No,No,No
5445-UTODQ,Del Mar,92014,Female,No,Yes,No
1024-VRZHF,Encinitas,92024,Male,No,Yes,No
9497-QCMMS,Escondido,92026,Male,Yes,No,No
0348-SDKOL,La Jolla,92037,Female,No,Yes,No
4373-MAVJG,Oceanside,92056,Female,No,Yes,No
8901-HJXTF,Oceanside,92057,Female,No,Yes,No
5419-KLXBN,Palomar Mountain,92060,Female,No,Yes,No
4514-GFCFI,Ramona,92065,Female,Yes,No,No
9828-AOQLM,San Marcos,92069,Female,No,Yes,No
8000-REIQB,Santee,92071,Female,Yes,No,No
7615-ESMYF,Valley Center,92082,Female,No,Yes,No
3858-VOBET,Vista,92083,Male,No,No,No
8565-CLBZW,San Diego,92102,Male,No,No,No
0224-HJAPT,San Diego,92104,Male,No,No,No
8086-OVPWV,San Diego,92105,Male,No,No,No
9430-FRQOC,San Diego,92106,Female,No,No,No
3074-GQWYX,San Diego,92108,Male,No,No,No
6845-RGTYS,San Diego,92110,Female,No,Yes,No
8861-HGGKB,San Diego,92115,Female,No,No,No
7065-YUNRY,San Diego,92117,Female,No,No,No
4795-KTRTH,San Diego,92122,Female,Yes,Yes,No
3753-TSEMP,San Diego,92139,Female,No,Yes,No
8305-VHZBZ,San Diego,92154,Male,No,No,No
9172-JITSM,Palm Desert,92211,Female,No,Yes,No
6298-QDFNH,Banning,92220,Male,No,No,No
9961-JBNMK,Desert Center,92239,Male,Yes,No,No
6173-ITPWD,Heber,92249,Male,No,Yes,No
9734-UYXQI,Holtville,92250,Female,No,No,No
