CustomerID,Tenure Months,Multiple Lines,Contract,Monthly Charges,Total Charges,Churn Label,Churn Score,CLTV,Churn Reason
8637-XJIVR,12,Yes,Month-to-month,78.95,927.35,Yes,86,5806,Lack of self-service on Website
0278-YXOOG,5,No,Month-to-month,21.05,113.85,Yes,66,2604,Network reliability
4598-XLKNJ,25,No,Month-to-month,98.5,2514.5,Yes,88,5337,Limited range of services
0486-HECZI,55,Yes,Month-to-month,96.75,5238.9,Yes,75,5154,Long distance charges
4846-WHAFZ,37,Yes,Month-to-month,76.5,2868.15,Yes,67,2793,Extra data charges
5299-RULOA,10,Yes,Month-to-month,100.25,1064.65,Yes,87,5998,Price too high
0404-SWRVG,3,Yes,Month-to-month,74.4,229.55,Yes,76,4415,Product dissatisfaction
4412-YLTKF,27,Yes,Month-to-month,78.05,2135.5,Yes,95,4638,Service dissatisfaction
6207-WIOLX,25,No phone service,Month-to-month,58.6,1502.65,Yes,99,4190,Lack of self-service on Website
3091-FYHKI,1,No phone service,Month-to-month,35.45,35.45,Yes,80,2301,Network reliability
2372-HWUHI,2,No,Month-to-month,44.35,81.25,Yes,76,2570,Don't know
0390-DCFDQ,1,No,Month-to-month,70.45,70.45,Yes,76,3964,Don't know
4080-OGPJL,8,Yes,Month-to-month,71.15,563.65,Yes,66,2662,Don't know
2135-RXIHG,1,No,Month-to-month,45.65,45.65,Yes,73,2600,Poor expertise of online support
3874-EQOEP,7,Yes,Month-to-month,95,655.5,Yes,94,2786,Poor expertise of phone support
0867-MKZVY,20,Yes,Month-to-month,82.4,1592.35,Yes,86,5719,Price too high
3376-BMGFE,4,No,Month-to-month,70.9,273,Yes,75,4287,Product dissatisfaction
3445-HXXGF,58,No phone service,Month-to-month,45.3,2651.2,Yes,100,5444,Service dissatisfaction
1875-QIVME,2,Yes,Month-to-month,104.4,242.8,Yes,83,4690,Lack of self-service on Website
2656-FMOKZ,15,Yes,Month-to-month,74.45,1145.7,Yes,99,5717,Limited range of services
2070-FNEXE,7,No,Month-to-month,76.45,503.6,Yes,81,4419,Lack of affordable download/upload speed
6317-YPKDH,1,No phone service,Month-to-month,29.95,29.95,Yes,95,4534,Long distance charges
9367-WXLCH,8,Yes,Month-to-month,84.5,662.65,Yes,86,2152,Extra data charges
1918-ZBFQJ,13,No,Month-to-month,79.25,1111.65,Yes,73,5142,Price too high
1024-GUALD,1,No phone service,Month-to-month,24.8,24.8,Yes,94,4851,Product dissatisfaction
2472-OVKUP,6,No,Month-to-month,91,531,Yes,94,2283,Service dissatisfaction
1285-OKIPP,1,No,Month-to-month,79.9,79.9,Yes,98,3394,Lack of self-service on Website
7825-ECJRF,19,No,Month-to-month,106.6,1934.45,Yes,71,3764,Network reliability
7841-TZDMQ,2,No,Month-to-month,46,84.5,Yes,76,2667,Don't know
9408-SSNVZ,4,No,Month-to-month,70.15,268.35,Yes,67,2227,Don't know
0742-MOABM,4,No,Month-to-month,50.05,179.35,Yes,82,3394,Don't know
2232-DMLXU,1,No,Month-to-month,55.2,55.2,Yes,81,3638,Poor expertise of online support
8937-RDTHP,1,No,Month-to-month,84.6,84.6,Yes,66,2484,Poor expertise of phone support
1251-KRREG,2,Yes,Month-to-month,54.4,114.1,Yes,81,2556,Price too high
0094-OIFMO,11,No,Month-to-month,95,1120.3,Yes,85,5980,Product dissatisfaction
9947-OTFQU,15,No,Month-to-month,74.4,1074.3,Yes,86,4616,Service dissatisfaction
0322-YINQP,1,No,Month-to-month,48.55,48.55,Yes,77,5687,Lack of self-service on Website
4629-NRXKX,2,No,Month-to-month,70.4,147.15,Yes,75,5687,Network reliability
9514-JDSKI,1,No phone service,Month-to-month,40.2,40.2,Yes,65,5828,Limited range of services
4959-JOSRX,2,No,Month-to-month,44.6,80.55,Yes,99,4884,Lack of affordable download/upload speed
7273-TEFQD,3,No phone service,Month-to-month,41.15,132.2,Yes,96,2314,Long distance charges
3606-TWKGI,13,Yes,Month-to-month,106.9,1364.3,Yes,84,2494,Extra data charges
4385-GZQXV,16,No,Month-to-month,94.45,1511.2,Yes,81,3810,Product dissatisfaction
6366-ZGQGL,1,No phone service,Month-to-month,24.8,24.8,Yes,73,5087,Service dissatisfaction
5940-AHUHD,1,No,Month-to-month,70.6,70.6,Yes,69,3338,Lack of self-service on Website
6432-TWQLB,5,Yes,Month-to-month,85.4,401.1,Yes,80,3676,Network reliability
4484-GLZOU,52,Yes,Month-to-month,105.05,5624.85,Yes,65,4839,Don't know
9512-UIBFX,18,No,Month-to-month,95.15,1779.95,Yes,68,4643,Don't know
5583-SXDAG,1,No,Month-to-month,70,70,Yes,97,4094,Don't know
3488-PGMQJ,8,No,Month-to-month,74.5,606.55,Yes,80,4345,Poor expertise of online support
3580-REOAC,10,No,Month-to-month,44.85,435.4,Yes,83,4061,Poor expertise of phone support
7534-BFESC,24,Yes,Month-to-month,76.1,1712.7,Yes,98,2018,Price too high
6390-DSAZX,1,No,Month-to-month,73.6,73.6,Yes,80,2565,Product dissatisfaction
8098-LLAZX,4,Yes,Month-to-month,95.45,396.1,Yes,85,3677,Service dissatisfaction
0265-EDXBD,32,Yes,Month-to-month,74.9,2303.35,Yes,69,4105,Lack of self-service on Website
7563-BIUPC,5,No,Month-to-month,80.6,415.55,Yes,69,5715,Network reliability
2840-XANRC,24,No,Month-to-month,93.15,2231.05,Yes,73,2212,Lack of affordable download/upload speed
5804-LEPIM,2,No,Month-to-month,70.35,139.05,Yes,73,2671,Extra data charges
0122-OAHPZ,7,Yes,Month-to-month,73.85,511.25,Yes,67,2473,Price too high
2868-SNELZ,2,Yes,Month-to-month,80.6,155.8,Yes,92,2683,Product dissatisfaction
1343-EHPYB,63,Yes,Month-to-month,103.4,6603,Yes,98,4352,Network reliability
2034-GDRCN,2,No,Month-to-month,90.4,168.2,Yes,76,4157,Don't know
0219-YTZUE,4,Yes,Month-to-month,84.8,371.9,Yes,73,4939,Don't know
0623-IIHUG,21,No phone service,Month-to-month,41.9,840.1,Yes,97,4778,Don't know
4572-DVCGN,10,No,Month-to-month,80.25,846,Yes,85,3598,Poor expertise of online support
9057-MSWCO,27,No phone service,Month-to-month,30.75,805.1,Yes,91,2927,Poor expertise of phone support
1010-DIAUQ,5,No,Month-to-month,96.5,492.55,Yes,98,5383,Price too high
0259-GBZSH,2,Yes,Month-to-month,85.65,181.5,Yes,73,3878,Product dissatisfaction
9601-BRXPO,25,Yes,Month-to-month,104.95,2566.5,Yes,66,3642,Service dissatisfaction
6905-NIQIN,1,No,Month-to-month,50.65,50.65,Yes,76,2431,Don't know
5167-ZFFMM,1,Yes,Month-to-month,90.85,90.85,Yes,81,3424,Network reliability
4895-TMWIR,11,No,Month-to-month,19.95,214.75,Yes,80,5888,Limited range of services
0533-BNWKF,55,Yes,Month-to-month,85.45,4874.7,Yes,100,5502,Lack of affordable download/upload speed
6599-CEBNN,34,No,Month-to-month,73.95,2524.45,Yes,94,5795,Long distance charges
0979-PHULV,69,Yes,Month-to-month,99.45,7007.6,Yes,80,4020,Extra data charges
4800-VHZKI,1,No,Month-to-month,19.9,19.9,Yes,92,3351,Price too high
7989-CHGTL,1,No,Month-to-month,19.6,19.6,Yes,95,3448,Product dissatisfaction
0334-GDDSO,3,Yes,Month-to-month,81.35,233.7,Yes,73,2818,Service dissatisfaction
0578-SKVMF,22,No,Month-to-month,83.3,1845.9,Yes,88,3804,Lack of self-service on Website
5564-NEMQO,1,No,Month-to-month,75.3,75.3,Yes,67,4902,Network reliability
9063-ZGTUY,61,No,Month-to-month,19.4,1182.55,Yes,82,4221,Don't know
2957-LOLHO,12,No,Month-to-month,45.4,518.9,Yes,68,2887,Don't know
7752-XUSCI,60,Yes,Month-to-month,105.9,6396.45,Yes,84,4105,Don't know
4110-PFEUZ,1,No,Month-to-month,69.55,69.55,Yes,73,2792,Competitor had better devices
0256-LTHVJ,28,No,Month-to-month,81.05,2227.1,Yes,98,5201,Competitor had better devices
0880-TKATG,4,Yes,Month-to-month,101.15,385.9,Yes,84,4417,Competitor had better devices
3811-VBYBZ,7,Yes,Month-to-month,99.8,673.25,Yes,98,2031,Competitor had better devices
4640-UHDOS,13,No,Month-to-month,55.95,734.35,Yes,91,4498,Competitor had better devices
3583-EKAPL,1,No,Month-to-month,55,55,Yes,71,4877,Competitor had better devices
9399-APLBT,1,No,Month-to-month,74.7,74.7,Yes,80,5980,Competitor had better devices
2359-KMGLI,24,Yes,Month-to-month,80.25,1861.5,Yes,77,4418,Competitor had better devices
0306-JAELE,5,No,Month-to-month,96.1,453.4,Yes,66,4192,Competitor had better devices
6227-HWPWX,15,No,Month-to-month,69,994.8,Yes,73,5671,Competitor had better devices
0447-BEMNG,48,No phone service,Month-to-month,45.3,2145,Yes,65,4926,Price too high
5949-XIKAE,8,No,Month-to-month,83.55,680.05,Yes,65,2879,Product dissatisfaction
8372-JUXUI,1,Yes,Month-to-month,74.35,74.35,Yes,93,2814,Service dissatisfaction
0388-EOPEX,2,No,Month-to-month,74.4,139.4,Yes,77,4263,Lack of self-service on Website
6235-VDHOM,5,No phone service,Month-to-month,28.45,131.05,Yes,89,4099,Limited range of services
7783-YKGDV,12,Yes,Month-to-month,99.7,1238.45,Yes,76,2538,Lack of affordable download/upload speed
5609-CEBID,20,Yes,Month-to-month,94.1,1782.4,Yes,87,2666,Long distance charges
7218-HKQFK,2,No,Month-to-month,94.2,167.5,Yes,72,3715,Don't know
4636-QRJKY,6,Yes,Month-to-month,80.5,502.85,Yes,98,5032,Price too high
5956-VKDTT,5,Yes,Month-to-month,74.35,334.8,Yes,82,5273,Product dissatisfaction
9412-GHEEC,40,Yes,Month-to-month,104.8,4131.95,Yes,88,3492,Service dissatisfaction
0257-ZESQC,27,No,Month-to-month,75.2,1929.35,Yes,99,4517,Lack of self-service on Website
6825-UYPFK,23,Yes,Month-to-month,75.6,1758.6,Yes,81,2115,Network reliability
8397-MVTAZ,34,Yes,Month-to-month,100.05,3480,Yes,72,2568,Don't know
9282-IZGQK,1,Yes,Month-to-month,85,85,Yes,80,5679,Don't know
1342-JPNKI,10,Yes,Month-to-month,86.05,834.1,Yes,85,2966,Don't know
2817-NTQDO,13,No phone service,Month-to-month,45.55,597,Yes,74,4856,Poor expertise of online support
6986-IJDHX,39,No,Month-to-month,86.3,3266,Yes,98,3364,Poor expertise of phone support
5301-GAUUY,32,Yes,Month-to-month,80.35,2596.15,Yes,92,5974,Competitor had better devices
0939-YAPAF,35,Yes,Month-to-month,100.25,3527.6,Yes,72,2744,Competitor offered higher download speeds
1218-VKFPE,12,No,Month-to-month,19,233.55,Yes,72,3535,Competitor made better offer
3627-FHKBK,1,No,Month-to-month,75.3,75.3,Yes,87,3244,Competitor had better devices
2865-TCHJW,4,Yes,Month-to-month,89.2,346.2,Yes,74,5808,Competitor had better devices
5192-EBGOV,1,Yes,Month-to-month,85.7,85.7,Yes,66,4880,Competitor offered higher download speeds
0719-SYFRB,12,Yes,Month-to-month,61.65,713.75,Yes,67,5670,Competitor offered higher download speeds
3419-SNJJD,65,Yes,Month-to-month,105.25,6786.4,Yes,91,4196,Competitor offered higher download speeds
6543-CPZMK,9,No phone service,Month-to-month,29.95,248.95,Yes,83,2573,Competitor offered more data
4765-OXPPD,9,No,Month-to-month,65,663.05,Yes,76,3983,Competitor offered more data
1009-IRMNA,7,No,Month-to-month,20,137.6,Yes,100,4479,Competitor offered more data
4554-YGZIH,49,Yes,Month-to-month,90.05,4547.25,Yes,96,5059,Competitor made better offer
5099-BAILX,43,Yes,Month-to-month,110.75,4687.9,Yes,65,2728,Competitor made better offer
7207-RMRDB,65,Yes,Month-to-month,105.5,6985.65,Yes,89,5720,Competitor had better devices
0195-IESCP,10,Yes,Month-to-month,85.25,855.3,Yes,75,3573,Competitor offered more data
4580-TMHJU,43,No,Month-to-month,56.15,2499.3,Yes,65,2152,Don't know
0970-ETWGE,1,No,Month-to-month,89.55,89.55,Yes,99,4996,Competitor had better devices
1626-ERCMM,20,Yes,Month-to-month,94.55,1899.65,Yes,84,5604,Competitor had better devices
0887-HJGAR,1,No,Month-to-month,45.7,45.7,Yes,95,2295,Competitor offered higher download speeds
5644-PDMZC,2,Yes,Month-to-month,89.5,161.5,Yes,80,2065,Competitor offered higher download speeds
9576-ANLXO,3,No,Month-to-month,69.55,222.3,Yes,87,2876,Competitor offered higher download speeds
2024-BASKD,1,No,Month-to-month,74.6,74.6,Yes,94,3860,Competitor offered more data
4160-AMJTL,8,No,Month-to-month,19.65,164.3,Yes,83,5432,Competitor offered more data
5650-VDUDS,4,No phone service,Month-to-month,24.25,96.05,Yes,93,2038,Competitor made better offer
7538-GWHML,2,No,Month-to-month,69.65,145.15,Yes,80,2323,Competitor made better offer
3859-CVCET,4,No,Month-to-month,45.65,191.05,Yes,78,2864,Competitor had better devices
3276-HDUEG,1,Yes,Month-to-month,75.05,75.05,Yes,78,4838,Competitor offered higher download speeds
0823-HSCDJ,52,No phone service,Month-to-month,49.15,2550.9,Yes,90,5597,Competitor offered more data
0822-GAVAP,2,No phone service,Month-to-month,34.7,62.25,Yes,65,3146,Competitor made better offer
1448-PWKYE,1,No,Month-to-month,80,80,Yes,88,2046,Competitor had better devices
0067-DKWBL,2,No,Month-to-month,49.25,91.1,Yes,89,3475,Competitor had better devices
2276-YDAVZ,3,Yes,Month-to-month,75.1,270.7,Yes,69,4965,Competitor offered higher download speeds
5896-NPFWW,3,No,Month-to-month,50.15,168.15,Yes,86,3273,Competitor offered higher download speeds
7133-VBDCG,25,No,Month-to-month,79.85,2015.35,Yes,85,4535,Competitor offered higher download speeds
1029-QFBEN,1,No,Month-to-month,19.55,19.55,Yes,66,3556,Competitor offered more data
4952-YSOGZ,4,Yes,Month-to-month,85.95,381.3,Yes,74,5640,Competitor offered more data
1589-AGTLK,3,No,Month-to-month,45.35,141.5,Yes,67,2450,Competitor offered more data
5244-IRFIH,33,Yes,Month-to-month,94.5,3105.55,Yes,96,4333,Competitor made better offer
2684-EIWEO,30,Yes,Month-to-month,91.7,2758.15,Yes,97,2482,Competitor made better offer
6439-GTPCA,45,Yes,Month-to-month,87.25,3941.7,Yes,73,5269,Competitor had better devices
5138-WVKYJ,10,Yes,Month-to-month,98.55,1008.55,Yes,80,3658,Competitor offered higher download speeds
6683-VLCTZ,20,Yes,Month-to-month,98.55,1842.8,Yes,92,5444,Competitor offered more data
2189-WWOEW,15,No,Month-to-month,85.9,1269.55,Yes,96,3579,Don't know
1894-IGFSG,22,No,Month-to-month,89.25,1907.85,Yes,82,3161,Competitor had better devices
7379-POKDZ,3,No,Month-to-month,70.3,208.85,Yes,66,3038,Competitor had better devices
0236-HFWSV,15,Yes,Month-to-month,93.35,1444.65,Yes,77,5264,Competitor offered higher download speeds
3900-AQPHZ,1,No,Month-to-month,19.9,19.9,Yes,100,4248,Competitor offered higher download speeds
5842-POCOP,5,No,Month-to-month,88.9,454.15,Yes,79,4356,Competitor offered higher download speeds
7314-OXENN,2,Yes,Month-to-month,82,184.65,Yes,97,3051,Competitor offered more data
0322-CHQRU,2,No,Month-to-month,45.35,89.5,Yes,81,3478,Competitor offered more data
4678-DVQEO,1,No,Month-to-month,52.2,52.2,Yes,71,4138,Competitor made better offer
1450-GALXR,10,Yes,Month-to-month,98.5,1058.25,Yes,74,5184,Attitude of service provider
3138-BKYAV,6,No,Month-to-month,85.35,489.45,Yes,75,4694,Attitude of service provider
4289-DTDKW,40,Yes,Month-to-month,101.3,4113.1,Yes,70,2576,Attitude of support person
1820-TQVEV,1,No,Month-to-month,69.55,69.55,Yes,76,3042,Attitude of support person
6275-YDUVO,2,No,Month-to-month,86.2,178.7,Yes,95,2969,Attitude of service provider
0115-TFERT,21,Yes,Month-to-month,111.2,2317.1,Yes,89,4123,Attitude of service provider
2311-QYMUQ,16,No,Month-to-month,89.45,1430.25,Yes,73,3696,Attitude of support person
3643-AHCFP,7,Yes,Month-to-month,95.6,644.35,Yes,83,3265,Competitor made better offer
9231-ZJYAM,4,No,Month-to-month,78.85,292.8,Yes,72,5301,Moved
6982-SSHFK,1,No,Month-to-month,44.4,44.4,Yes,89,3522,Competitor offered higher download speeds
3027-ZTDHO,1,No,Month-to-month,89.9,89.9,Yes,80,5951,Don't know
2207-NHRJK,1,No,Month-to-month,50.8,50.8,Yes,85,3718,Competitor offered higher download speeds
0947-MUGVO,20,No,Month-to-month,73.65,1463.5,Yes,95,5849,Competitor offered higher download speeds
9944-HKVVB,3,No,Month-to-month,95.1,307.4,Yes,77,5861,Competitor offered higher download speeds
4124-MMETB,22,Yes,Month-to-month,94.65,2104.55,Yes,85,3665,Competitor offered higher download speeds
3671-SHRSP,4,No,Month-to-month,80.6,319.15,Yes,86,3080,Competitor offered more data
5073-WXOYN,60,No phone service,Month-to-month,50.8,3027.4,Yes,67,4941,Competitor offered more data
0207-MDKNV,15,No,Month-to-month,105.1,1582.75,Yes,84,2122,Competitor made better offer
9851-KIELU,10,No,Month-to-month,110.1,1043.3,Yes,76,5803,Competitor made better offer
3908-BLSYF,6,No,Month-to-month,83.9,497.55,Yes,97,3962,Price too high
7549-MYGPK,63,Yes,Month-to-month,100.55,6215.35,Yes,79,5413,Price too high
3804-RVTGV,50,Yes,Month-to-month,103.85,5017.9,Yes,100,5812,Price too high
9227-LUNBG,1,No phone service,Month-to-month,24.6,24.6,Yes,76,5768,Price too high
4315-MURBD,12,No,Month-to-month,98.9,1120.95,Yes,71,5559,Price too high
9734-YWGEX,9,Yes,Month-to-month,98.3,923.5,Yes,81,2954,Price too high
2719-BDAQO,17,No,Month-to-month,93.85,1625.65,Yes,93,4940,Price too high
0781-LKXBR,9,Yes,Month-to-month,100.5,918.6,Yes,70,4038,Price too high
1907-UBQFC,10,No,Month-to-month,72.85,688.65,Yes,99,3189,Price too high
6513-EECDB,1,Yes,Month-to-month,73.55,73.55,Yes,94,4369,Price too high
7074-IEVOJ,3,Yes,Month-to-month,79.4,205.05,Yes,91,3501,Product dissatisfaction
9625-QSTYE,13,No,Month-to-month,81.15,952.3,Yes,79,4806,Service dissatisfaction
4750-ZRXIU,4,Yes,Month-to-month,84.6,360.1,Yes,83,2467,Lack of self-service on Website
6400-BWQKW,6,Yes,Month-to-month,79.05,434.5,Yes,99,3263,Network reliability
6680-WKXRZ,3,Yes,Month-to-month,74.4,215.8,Yes,97,2054,Don't know
7028-DVOIQ,35,Yes,Month-to-month,99.05,3395.8,Yes,82,2074,Don't know
4208-UFFGW,2,No,Month-to-month,44.95,85.15,Yes,84,5900,Don't know
9448-REEVD,1,No,Month-to-month,44.7,44.7,Yes,74,3700,Don't know
9117-SHLZX,1,No,Month-to-month,45.7,45.7,Yes,72,3571,Poor expertise of phone support
9889-TMAHG,8,No,Month-to-month,100.3,832.35,Yes,74,5084,Competitor had better devices
4541-RMRLG,7,No,Month-to-month,19.25,112.3,Yes,82,4489,Competitor offered higher download speeds
3158-MOERK,2,Yes,Month-to-month,96,174.8,Yes,83,3391,Competitor offered more data
7294-TMAOP,1,No,Month-to-month,90.55,90.55,Yes,72,2627,Competitor made better offer
8919-FYFQZ,44,No phone service,Month-to-month,30.35,1359.7,Yes,96,4829,Competitor had better devices
5875-YPQFJ,1,No,Month-to-month,69.9,69.9,Yes,84,5367,Competitor offered higher download speeds
8603-IJWDN,1,Yes,Month-to-month,86.6,86.6,Yes,93,5228,Competitor offered higher download speeds
9369-XFEHK,33,Yes,Month-to-month,80.6,2656.5,Yes,72,3601,Competitor offered more data
3842-IYKUE,35,Yes,Month-to-month,85.3,2917.5,Yes,88,2455,Competitor offered more data
6641-XRPSU,34,No,Month-to-month,70,2416.1,Yes,93,2318,Competitor offered more data
1374-DMZUI,4,Yes,Month-to-month,94.3,424.45,Yes,99,5419,Competitor made better offer
8357-EQXFO,7,No,Month-to-month,95.35,660.9,Yes,92,3077,Competitor made better offer
1989-PRJHP,27,Yes,Month-to-month,75.5,1893.95,Yes,65,2377,Competitor had better devices
9524-EGPJC,18,Yes,Month-to-month,90.1,1612.75,Yes,80,4260,Competitor offered higher download speeds
6993-OHLXR,2,No,Month-to-month,68.95,119.75,Yes,84,5225,Competitor offered more data
8818-XYFCQ,32,Yes,Month-to-month,99.55,3204.65,Yes,71,5026,Competitor made better offer
4695-VADHF,18,No,Month-to-month,57.45,990.85,Yes,84,2989,Competitor had better devices
4822-RVYBB,8,Yes,Month-to-month,100.6,819.4,Yes,90,5906,Competitor offered higher download speeds
8436-BJUMM,26,Yes,Month-to-month,83.75,2070.6,Yes,84,2404,Competitor offered higher download speeds
4184-TJFAN,3,No,Month-to-month,88.3,273.75,Yes,68,4486,Competitor offered higher download speeds
4145-UQXUQ,8,No,Month-to-month,92.1,729.95,Yes,81,5662,Competitor offered more data
9948-YPTDG,38,No,Month-to-month,79.45,3013.05,Yes,85,2405,Competitor offered more data
1236-WFCDV,14,No,Month-to-month,90.45,1266.1,Yes,96,4777,Competitor offered more data
4883-QICIH,32,No,Month-to-month,69.75,2347.9,Yes,96,2356,Don't know
8329-IBCTI,1,No,Month-to-month,19.65,19.65,Yes,99,5881,Competitor made better offer
1271-SJBGZ,12,No phone service,Month-to-month,43.65,526.95,Yes,74,2437,Competitor had better devices
5669-SRAIP,5,No phone service,Month-to-month,39.5,210.75,Yes,93,2863,Competitor offered higher download speeds
5981-ITEMU,40,Yes,Month-to-month,97.1,3706.95,Yes,67,3099,Competitor offered more data
6941-PMGEP,5,No,Month-to-month,80,412.5,Yes,97,3937,Competitor made better offer
1624-WOIWJ,10,No,Month-to-month,84.7,832.05,Yes,69,5686,Competitor had better devices
2074-GKOWZ,2,No,Month-to-month,89.55,185.55,Yes,73,3851,Competitor had better devices
0376-YMCJC,23,Yes,Month-to-month,90.6,1943.2,Yes,82,4359,Competitor offered higher download speeds
0634-SZPQA,23,Yes,Month-to-month,90.05,2169.8,Yes,67,4650,Competitor offered higher download speeds
5536-RTPWK,49,Yes,Month-to-month,99.05,4853.75,Yes,100,5157,Competitor offered higher download speeds
6166-ILMNY,2,No,Month-to-month,69.75,144.55,Yes,68,5667,Competitor offered more data
3097-NNSPB,2,No,Month-to-month,49.05,91.1,Yes,98,2960,Competitor offered more data
0655-RBDUG,7,Yes,Month-to-month,98.05,713,Yes,86,2561,Competitor offered more data
4361-BKAXE,41,Yes,Month-to-month,114.5,4527.45,Yes,80,3038,Competitor made better offer
9878-TNQGW,2,No,Month-to-month,80.95,171.15,Yes,65,3533,Competitor made better offer
4441-NIHPT,13,No,Month-to-month,74.3,940.35,Yes,97,2995,Competitor had better devices
8999-BOHSE,11,No,Month-to-month,89.7,1047.7,Yes,89,2202,Competitor offered higher download speeds
7029-RPUAV,17,Yes,Month-to-month,100.45,1622.45,Yes,87,5508,Competitor offered more data
8824-RWFXJ,3,No,Month-to-month,56.15,168.15,Yes,83,2539,Competitor had better devices
9763-PDTKK,4,No,Month-to-month,94.4,387.2,Yes,74,4249,Competitor had better devices
7627-JKIAZ,37,Yes,Month-to-month,78.95,2839.65,Yes,97,3982,Competitor offered higher download speeds
8111-SLLHI,39,Yes,Month-to-month,105.65,4284.8,Yes,96,4687,Competitor offered higher download speeds
0927-LCSMG,7,No,Month-to-month,74.65,544.55,Yes,75,3331,Competitor offered more data
8257-RZAHR,14,Yes,Month-to-month,64.7,941,Yes,86,4049,Competitor offered more data
5293-WXJAK,11,Yes,Month-to-month,104.05,1133.65,Yes,82,4553,Competitor offered more data
0841-NULXI,1,No phone service,Month-to-month,35.55,35.55,Yes,71,3958,Don't know
7851-WZEKY,2,Yes,Month-to-month,95.15,196.9,Yes,82,2414,Competitor made better offer
8844-TONUD,13,No,Month-to-month,96.65,1162.85,Yes,75,5295,Attitude of service provider
4086-YQSNZ,3,No,Month-to-month,80.4,224.05,Yes,89,3834,Attitude of service provider
5868-CZJDR,1,No phone service,Month-to-month,31.35,31.35,Yes,85,3605,Attitude of service provider
0135-NMXAP,12,Yes,Month-to-month,89.75,1052.4,Yes,97,5671,Attitude of support person
0107-WESLM,1,No,Month-to-month,19.85,19.85,Yes,66,3874,Attitude of support person
3992-YWPKO,6,Yes,Month-to-month,109.9,669.45,Yes,69,5750,Attitude of service provider
0125-LZQXK,15,No,Month-to-month,101.35,1553.95,Yes,99,3025,Attitude of service provider
8399-YNDCH,21,No,Month-to-month,60.05,1236.15,Yes,70,4716,Attitude of service provider
5673-FSSMF,1,Yes,Month-to-month,60.15,60.15,Yes,91,4611,Attitude of support person
1579-KLYDT,7,Yes,Month-to-month,90.45,593.45,Yes,98,5356,Competitor made better offer
6358-LYNGM,1,Yes,Month-to-month,74.9,74.9,Yes,84,2548,Moved
5494-HECPR,1,No,Month-to-month,80.25,80.25,Yes,69,2502,Moved
9824-BEMCV,17,No,Month-to-month,69,1149.65,Yes,77,3368,Competitor offered higher download speeds
1373-ORVIZ,11,Yes,Month-to-month,66.35,740.8,Yes,91,2860,Competitor offered higher download speeds
9866-QEVEE,19,Yes,Month-to-month,86,1532.45,Yes,98,4857,Competitor offered higher download speeds
9897-KXHCM,3,No,Month-to-month,80.3,250.05,Yes,72,3212,Competitor offered higher download speeds
7979-CORPM,24,Yes,Month-to-month,90.55,2282.55,Yes,67,5927,Don't know
1618-CFHME,2,Yes,Month-to-month,75.9,143.35,Yes,86,2101,Don't know
3165-HDOEW,1,No,Month-to-month,45.85,45.85,Yes,73,3706,Don't know
6581-NQCBA,16,No phone service,Month-to-month,49.95,810.2,Yes,78,4840,Don't know
1689-MRZQR,34,No,Month-to-month,78.3,2564.3,Yes,77,2777,Don't know
5835-BEQEU,3,Yes,Month-to-month,76.95,228.4,Yes,92,4428,Don't know
5565-FILXA,16,Yes,Month-to-month,96.15,1529.2,Yes,96,5913,Don't know
